YMD,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345,最高温度℃,最低温度℃平均温度℃相对湿度(平均),,,降雨量（mm）
20140111,5340.31984,5229.376576,5142.121984,5074.362304,4993.56064,4960.222144,4885.113952,4839.78016,4783.230592,4770.241984,4723.062304,4710.14032,4674.087808,4652.770912,4615.828288,4580.804224,4554.955456,4544.15872,4530.190432,4520.890048,4512.950272,4512.001984,4521.494656,4538.770432,4568.515936,4650.126208,4677.144544,4740.730912,4852.525024,5060.867488,5321.852512,5635.278016,6393.256576,7244.883424,7547.497696,7750.094656,7864.244704,7970.07904,8042.843104,8091.093472,8137.922464,8184.712192,8242.704064,8246.590048,8268.334336,8222.235616,8006.655616,7667.476576,6701.926048,6149.036416,6102.709888,6118.237216,6162.389728,6341.262784,6852.336256,7472.27968,7610.036416,7707.136096,7752.837376,7754.962624,7777.79872,7794.971392,7839.289888,7862.582464,7925.47984,7969.95904,7966.467808,7945.502464,7828.737856,7683.570112,7166.692672,6826.846528,6821.949088,7052.143744,7305.108448,7493.814016,7496.44096,7503.06112,7462.9816,7368.049888,7259.256256,7216.577536,7221.434656,7209.166528,7102.78144,7038.80032,6927.923584,6838.562464,6704.371552,6580.995136,6405.567808,6221.457376,5982.62032,5739.294016,5497.9,5296.268608,21.6,12.5,15.8,67,0
20140112,5121.914656,5032.954336,4950.64,4897.034176,4808.74192,4773.937216,4710.81904,4652.806528,4596.768448,4556.915776,4517.55904,4485.350272,4446.39952,4420.836256,4400.035456,4378.08112,4352.465824,4326.228448,4294.95808,4282.687168,4283.192032,4252.012672,4259.632672,4276.523104,4284.450112,4316.468128,4360.070752,4375.3816,4429.832512,4552.122784,4722.833152,4932.077056,5452.637536,6100.474336,6335.435296,6514.886368,6619.107328,6718.722784,6767.26144,6835.728448,6891.050272,6961.863904,7002.865024,7031.088448,7050.654016,7042.714816,6901.126048,6652.623904,5861.90032,5509.93984,5456.188288,5446.263904,5463.361984,5553.6016,5831.727808,6303.734176,6408.937216,6483.892192,6512.313952,6529.450048,6529.972192,6565.00144,6611.908768,6645.269728,6699.6184,6777.571072,6803.75968,6789.6616,6724.245184,6639.071392,6310.490272,6122.088448,6123.668608,6241.124704,6371.022304,6415.30192,6399.774016,6360.732352,6326.989408,6246.023104,6196.270912,6203.082784,6224.461984,6227.60176,6172.597216,6137.885344,6081.472672,5996.182144,5889.697696,5796.294976,5639.913472,5463.070912,5296.062784,5075.971552,4903.816096,4700.252992,20,13.1,16,75,0
20140113,4554.565984,4467.622624,4417.567168,4366.895296,4320.050272,4262.512192,4218.872992,4175.749888,4128.915616,4084.853632,4061.145664,4043.999488,4027.652992,4000.426048,3983.209888,3977.85856,3965.255104,3936.24016,3934.05184,3932.942944,3933.02992,3963.885184,3972.33808,4021.81072,4055.511712,4179.712192,4233.517216,4380.108448,4551.842464,4796.5984,5061.509728,5398.733632,6293.292352,7135.517536,7478.522464,7706.26,7817.99872,7940.847328,8007.58192,8089.015936,8145.372832,8211.623104,8261.38192,8282.254336,8290.72,8291.092192,8110.849408,7761.774016,6821.90032,6235.587808,6189.771232,6163.877536,6217.889248,6390.772672,6941.836096,7563.210112,7714.767808,7835.583424,7857.042784,7866.65872,7880.592352,7932.57856,7971.529888,8015.39968,8068.072192,8147.445664,8149.77808,8137.765024,8077.757536,7934.371552,7453.111072,7096.22032,7120.190272,7418.049088,7748.642464,8004.871072,8053.692832,8071.145344,8013.509728,7941.912352,7828.717696,7794.209728,7805.010112,7752.946528,7605.916096,7517.164864,7407.333472,7261.606048,7076.98,6905.112832,6667.669888,6401.652352,6141.428128,5851.3384,5603.401984,5380.895296,14.5,9.3,11.8,60,0
20140114,5188.2592,5077.012672,4999.085824,4925.122144,4860.932032,4818.734656,4772.826688,4718.848768,4667.182144,4648.765504,4615.518016,4588.476256,4551.642784,4525.547968,4511.956576,4478.989408,4460.264704,4460.469088,4438.591552,4448.8984,4428.933952,4433.857216,4446.59968,4483.264384,4501.208608,4593.145984,4632.331552,4729.662304,4861.822624,5123.891872,5370.505984,5732.631232,6532.226368,7332.1816,7638.286048,7820.512192,7932.408448,8032.165984,8090.44192,8153.81968,8183.585344,8227.672192,8267.445664,8272.043104,8275.208128,8238.216256,8056.03936,7686.276256,6772.128448,6211.30096,6198.102784,6179.403904,6204.429088,6380.933632,6885.286048,7504.395136,7646.975296,7747.735936,7800.277216,7816.707808,7839.826048,7866.650272,7913.394976,7951.022464,8011.19872,8087.646208,8095.430272,8064.866848,7974.386368,7828.194976,7324.725184,7033.516096,7039.414816,7321.349728,7644.534976,7916.410048,7939.727488,7978.410112,7947.622624,7865.447488,7733.576416,7741.117216,7749.054976,7701.714976,7572.3616,7490.943424,7381.308928,7210.848928,7026.752512,6877.65856,6663.084064,6413.107648,6127.977856,5851.056256,5599.237696,5348.365984,14.9,8,11.3,57,0
20140115,5140.093792,5026.412032,4962.071872,4889.769088,4819.357216,4768.809088,4733.5816,4672.146208,4635.944704,4595.6416,4579.735936,4550.666848,4517.033632,4498.547968,4476.607168,4448.382784,4446.196096,4444.694656,4416.275776,4383.656896,4406.426368,4401.212512,4413.76192,4443.406048,4481.167648,4572.745984,4627.39984,4719.136576,4830.570112,5082.165184,5362.364704,5704.951552,6485.037376,7272.31888,7549.276096,7737.40096,7840.105984,7964.367808,7997.59888,8072.348128,8099.483104,8167.222144,8200.66096,8205.668128,8210.692192,8169.097216,7955.223904,7589.050912,6640.9,6144.463264,6138.764704,6130.407808,6165.915136,6334.683424,6749.942464,7411.328608,7516.975936,7639.486528,7664.965024,7701.85888,7721.465344,7755.16096,7812.063424,7840.608448,7895.717536,7969.897216,7977.292192,7953.137536,7852.377376,7697.302144,7239.445984,6896.214016,6913.795936,7182.516256,7515.164704,7771.335136,7792.083904,7815.177376,7757.836096,7692.435136,7579.18,7559.913952,7572.447328,7544.214976,7431.687328,7324.470112,7207.905184,7119.627328,6940.515136,6767.127808,6567.390112,6319.21888,6088.987648,5813.390752,5577.834016,5306.53984,16.5,7.6,11.8,48,0
20140116,5109.8584,4991.775136,4916.528608,4851.0184,4784.80096,4723.122784,4673.30032,4622.163904,4578.569728,4530.186208,4511.687488,4487.393152,4452.812032,4428.826528,4397.534656,4386.722464,4350.973792,4348.785664,4330.816576,4311.656416,4335.077536,4342.432192,4355.234176,4374.670912,4408.51888,4490.294176,4532.109088,4616.725024,4726.475776,4960.992832,5206.742464,5550.125344,6254.554816,7131.571552,7408.366528,7595.730112,7706.516416,7790.33968,7852.291072,7917.88144,7958.473792,7995.396256,8035.967488,8037.446848,8026.35808,8000.606368,7834.12,7487.62,6601.05856,6067.028128,6033.054496,6015.217216,6062.527168,6219.985984,6672.196576,7292.491072,7403.590912,7541.509888,7560.496576,7593.34,7586.244064,7623.14032,7664.751232,7703.948608,7753.572832,7814.425984,7848.427648,7778.702464,7693.365184,7557.7816,7050.423904,6762.106528,6766.282144,7061.356096,7344.850912,7624.676416,7620.095296,7633.483744,7613.030272,7530.48112,7391.228608,7383.825184,7390.115296,7351.07872,7247.069728,7166.477536,7059.225184,6935.537536,6794.005984,6617.163904,6429.888448,6204.09808,5985.412192,5695.715296,5442.089728,5218.237216,18.5,8.3,12.7,57,0
20140117,5014.73824,4914.87904,4830.80128,4762.154176,4700.5816,4639.0384,4589.048128,4539.967168,4474.54192,4459.533952,4425.394816,4400.149888,4368.489088,4346.685664,4318.630048,4308.054496,4286.62144,4273.588288,4260.537856,4241.474656,4254.624064,4245.587008,4283.76064,4294.957696,4328.752672,4406.293312,4454.20192,4544.148448,4672.629088,4913.09824,5127.81904,5456.135296,6122.185024,6933.77968,7245.796096,7405.869088,7521.547168,7609.752832,7679.644864,7726.077856,7766.352832,7811.76112,7847.571232,7870.763584,7855.395136,7833.123424,7668.991552,7317.776416,6463.083424,5914.737856,5894.874016,5888.997856,5945.367808,6076.117216,6561.457216,7113.702304,7219.8016,7348.203904,7360.5616,7374.188608,7381.627648,7416.389728,7465.452832,7495.493632,7556.987488,7597.412512,7617.74128,7597.008448,7454.466208,7326.65872,6823.413952,6530.823424,6543.352192,6806.272192,7087.624864,7350.817216,7366.75888,7379.863744,7331.4784,7267.70128,7152.327808,7099.936576,7116.684064,7123.609888,7019.422624,6971.393632,6830.61856,6762.382144,6592.375936,6452.926528,6269.248768,6068.347168,5849.71936,5590.536736,5382.302464,5151.607648,20,9.5,14.2,62,0
20140118,4941.989728,4845.2608,4760.489728,4699.653952,4628.252032,4577.287168,4512.416416,4462.12144,4400.146048,4346.490112,4326.027328,4302.74176,4261.2592,4222.586368,4207.99984,4197.202144,4169.917696,4169.695936,4172.411872,4158.366208,4162.347808,4172.807008,4173.590272,4182.97984,4202.014336,4275.027328,4299.252832,4369.482304,4474.088128,4677.328288,4906.673632,5213.33968,5865.470272,6650.652832,6890.557696,7069.145344,7160.68,7281.443584,7340.794816,7396.116256,7440.571552,7472.877856,7499.948608,7517.613472,7519.492192,7496.071552,7316.436256,6988.243744,6178.463104,5693.143744,5692.450048,5671.306048,5735.933632,5839.291552,6236.877856,6765.076576,6852.21856,6936.834976,6956.08144,6983.622784,6987.902464,7004.151232,7024.056256,7039.288768,7068.631552,7094.536576,7096.04032,7079.053792,6952.852192,6827.550112,6432.864064,6137.393632,6132.264064,6355.190272,6574.826368,6765.64096,6751.696576,6723.187648,6695.4784,6645.167488,6512.71984,6491.76112,6513.10096,6510.613792,6439.569088,6377.831872,6328.868608,6270.208288,6140.272672,6049.352512,5878.18144,5709.909088,5521.971712,5296.32112,5069.18032,4889.752192,20.1,11.1,15.7,33,0
20140119,4697.026048,4613.174656,4504.367488,4437.783904,4358.38192,4296.288928,4248.28,4188.68032,4139.26144,4100.089408,4080.466048,4070.370112,4038.4192,4013.079328,3991.46944,3961.573792,3945.159328,3934.332544,3910.596736,3915.249568,3882.82,3863.853664,3883.612384,3912.601312,3921.93136,3962.93056,3978.819328,3989.300512,4071.65008,4226.424544,4417.583584,4636.244704,5149.553632,5688.374656,5917.364704,6058.88032,6140.748448,6255.149728,6319.714816,6390.39808,6445.50112,6471.082624,6522.184864,6528.14032,6510.733792,6505.065184,6373.972192,6158.462944,5532.94,5156.289088,5103.4,5114.552992,5117.928448,5219.3416,5478.837856,5855.965984,5914.805344,5974.852192,5980.607488,6002.971552,6003.928288,6025.242784,6037.77952,6057.62176,6096.407008,6153.96064,6170.82064,6144.505504,6079.232512,5997.012832,5698.173472,5519.58112,5542.925344,5678.289568,5846.628928,5953.869088,5931.595936,5897.5408,5860.422784,5809.030048,5740.535296,5734.792192,5783.451232,5775.866848,5718.65872,5685.7,5652.70192,5595.287008,5519.935936,5427.128608,5279.16064,5164.067008,4968.763744,4791.206848,4614.902464,4426.045024,17.8,8.8,13.8,35,0
20140120,4275.85936,4164.485824,4087.569568,4033.201792,3965.283712,3932.807488,3879.062464,3854.232352,3802.334176,3757.184416,3729.647488,3706.967968,3686.154496,3652.35856,3644.37856,3613.086688,3588.56992,3598.185664,3595.863904,3579.056128,3587.26864,3597.35872,3615.064384,3643.059328,3678.171712,3744.502624,3790.01824,3851.004256,3982.526368,4211.691232,4450.44064,4778.08144,5452.528768,6163.12144,6433.06096,6613.78,6728.782624,6816.487648,6879.076096,6940.287328,6973.643584,7001.553472,7046.215936,7062.885184,7053.132352,7028.717536,6888.750112,6614.762464,5871.996256,5457.796576,5402.823904,5388.915616,5451.531712,5569.209568,5937.787648,6389.9584,6478.98112,6562.283584,6561.214816,6595.052512,6586.465024,6618.58096,6652.867168,6674.848768,6727.615936,6784.008928,6794.176096,6765.415936,6664.832512,6555.23872,6216.272512,5936.05888,5946.082624,6227.605024,6491.711392,6693.288928,6680.707648,6671.903584,6630.903424,6572.062144,6464.930272,6431.909248,6440.948608,6427.910752,6334.337536,6280.443424,6198.846208,6064.977856,5975.770048,5799.217216,5621.247328,5425.015456,5231.477056,5007.843904,4784.283904,4580.090272,20.3,10,14.8,42,0
20140121,4406.788288,4320.811552,4225.391872,4167.964384,4105.537696,4057.942624,3989.74816,3961.470112,3921.3208,3899.620672,3887.513824,3864.380512,3839.086816,3781.39936,3766.035136,3740.666368,3728.934304,3709.302304,3713.384416,3705.96112,3720.717568,3724.491712,3734.151232,3749.330752,3774.67936,3844.06816,3883.446208,3945.800032,4046.286208,4243.05856,4436.12128,4710.51808,5363.61904,6002.103424,6212.850112,6371.628448,6487.286368,6549.07984,6610.53856,6665.592832,6705.935296,6743.785984,6783.987808,6811.230112,6769.705984,6760.71904,6626.55904,6384.192832,5729.204704,5279.183584,5244.676576,5204.20096,5220.152032,5331.41968,5644.226368,6072.636736,6140.0416,6211.702144,6212.584864,6236.630272,6228.708448,6259.61872,6291.147808,6337.650112,6369.549568,6428.852032,6429.212512,6396.924064,6305.345344,6215.672992,5872.087168,5666.23936,5724.496096,5959.47904,6236.174656,6407.314336,6399.184864,6373.52176,6328.977856,6263.508928,6168.669088,6153.168928,6152.454976,6145.611232,6040.432192,5997.982624,5912.115136,5852.186368,5744.094016,5616.15904,5486.110048,5265.7384,5069.457376,4868.263744,4672.073152,4474.42,18.1,10.2,14.4,21,0
20140122,4315.613152,4231.595776,4135.197376,4068.886336,3982.090048,3937.993792,3863.876896,3811.846336,3785.048608,3754.933024,3726.74992,3699.388288,3659.85184,3647.89072,3624.400672,3614.929888,3589.120672,3578.542432,3565.405504,3534.133792,3563.932,3551.951872,3581.833792,3605.354944,3624.95872,3693.863872,3732.745024,3792.835456,3874.17952,4054.95952,4265.656096,4520.10064,5147.077216,5634.096256,5851.446208,5977.72144,6057.214816,6170.653792,6207.001984,6262.187968,6277.688128,6300.45856,6344.353312,6373.923424,6357.728608,6334.0384,6210.528448,5981.514016,5360.673472,5025.108448,4972.673632,4958.3992,4977.290272,5082.985984,5370.954016,5725.13824,5771.452672,5830.35856,5818.235296,5837.87968,5852.47888,5870.37904,5884.72144,5906.8816,5950.0384,5993.147488,5997.290752,5967.254656,5910.586048,5790.36064,5508.488608,5347.494496,5376.430912,5632.23856,5873.588128,6019.41856,6003.972832,5977.563424,5962.84096,5908.774336,5807.094016,5818.842784,5846.932192,5801.454016,5722.891072,5681.29984,5626.643104,5538.351232,5432.488288,5306.56,5176.011232,4998.09856,4812.728128,4626.308608,4440.7,4267.926208,17.1,7.7,12.4,21,0
